adduser,3.112ubuntu1
apparmor,2.5.1-0ubuntu0.10.04.4
apparmor-utils,2.5.1-0ubuntu0.10.04.4
apt,0.7.25.3ubuntu9.14
apt-utils,0.7.25.3ubuntu9.14
aptitude,0.4.11.11-1ubuntu10lucid1
base-files,5.0.0ubuntu20.10.04.5
base-passwd,3.5.22
bash,4.1-2ubuntu3
bind9-host,1:9.7.0.dfsg.P1-1ubuntu0.11
binutils,2.20.1-3ubuntu7.1
bison,1:2.4.1.dfsg-3
bsdmainutils,8.0.1ubuntu1
bsdutils,1:2.17.2-0ubuntu1.10.04.2
build-essential,11.4build1
busybox-initramfs,1:1.13.3-1ubuntu11
bzip2,1.0.5-4ubuntu0.2
ca-certificates,20090814ubuntu0.10.04.1
cmake,2.8.0-5ubuntu1
cmake-data,2.8.0-5ubuntu1
comerr-dev,2.1-1.41.11-1ubuntu2.1
console-setup,1.34ubuntu15
console-terminus,4.30-2
coreutils,7.4-2ubuntu3
cpio,2.10-1ubuntu2
cpp,4:4.4.3-1ubuntu1
cpp-4.4,4.4.3-4ubuntu5.1
cron,3.0pl1-106ubuntu7
curl,7.19.7-1ubuntu1.6
dash,0.5.5.1-3ubuntu2
debconf,1.5.28ubuntu4
debconf-i18n,1.5.28ubuntu4
debhelper,7.4.15ubuntu1
debianutils,3.2.2
dhcp3-client,3.1.3-2ubuntu3.5
dhcp3-common,3.1.3-2ubuntu3.5
diffutils,1:2.8.1-18
dkms,2.1.1.2-2ubuntu1
dmidecode,2.9-1.2
dmsetup,2:1.02.39-1ubuntu4.1
dnsutils,1:9.7.0.dfsg.P1-1ubuntu0.11
dpkg,1.15.5.6ubuntu4.6
dpkg-dev,1.15.5.6ubuntu4.6
e2fslibs,1.41.11-1ubuntu2.1
e2fsprogs,1.41.11-1ubuntu2.1
eject,2.1.5+deb1+cvs20081104-7
emacsen-common,1.4.19ubuntu1
exim4,4.71-3ubuntu1.4
exim4-base,4.71-3ubuntu1.4
exim4-config,4.71-3ubuntu1.4
exim4-daemon-light,4.71-3ubuntu1.4
file,5.03-5ubuntu1.1
findutils,4.4.2-1ubuntu1
flex,2.5.35-9
g++,4:4.4.3-1ubuntu1
g++-4.4,4.4.3-4ubuntu5.1
gcc,4:4.4.3-1ubuntu1
gcc-4.4,4.4.3-4ubuntu5.1
gcc-4.4-base,4.4.3-4ubuntu5.1
gdb,7.1-1ubuntu2
gettext,0.17-8ubuntu3
gettext-base,0.17-8ubuntu3
gnupg,1.4.10-2ubuntu1.5
gnupg-curl,1.4.10-2ubuntu1.5
gpgv,1.4.10-2ubuntu1.5
grep,2.5.4-4build1
groff-base,1.20.1-7
grub,0.97-29ubuntu60.10.04.2
grub-common,1.98-1ubuntu13
gzip,1.3.12-9ubuntu1.1
hostname,3.03ubuntu1
html2text,1.3.2a-14build1
htop,0.8.3-1ubuntu1
ifupdown,0.6.8ubuntu29.2
initramfs-tools,0.92bubuntu78
initramfs-tools-bin,0.92bubuntu78
initscripts,2.87dsf-4ubuntu17.5
insserv,1.12.0-14ubuntu0.2
intltool-debian,0.35.0+20060710.1
iproute,20091226-1
iptables,1.4.4-2ubuntu2
iputils-arping,3:20071127-2ubuntu1
iputils-ping,3:20071127-2ubuntu1
kbd,1.15-1ubuntu3
klibc-utils,1.5.17-4ubuntu1
krb5-multidev,1.8.1+dfsg-2ubuntu0.11
laptop-detect,0.13.7ubuntu2
less,436-1
libacl1,2.2.49-2
libaio1,0.3.107-3ubuntu2
libapparmor-perl,2.5.1-0ubuntu0.10.04.4
libapparmor1,2.5.1-0ubuntu0.10.04.4
libatm1,1:2.5.1-1.2
libattr1,1:2.4.44-1
libbind9-60,1:9.7.0.dfsg.P1-1ubuntu0.11
libblkid1,2.17.2-0ubuntu1.10.04.2
libbsd0,0.2.0-1
libbz2-1.0,1.0.5-4ubuntu0.2
libbz2-dev,1.0.5-4ubuntu0.2
libc-bin,2.11.1-0ubuntu7.13
libc-dev-bin,2.11.1-0ubuntu7.13
libc6,2.11.1-0ubuntu7.13
libc6-dev,2.11.1-0ubuntu7.13
libcap-dev,1:2.17-2ubuntu1.1
libcap2,1:2.17-2ubuntu1.1
libcap2-bin,1:2.17-2ubuntu1.1
libclass-accessor-perl,0.34-1
libcomerr2,1.41.11-1ubuntu2.1
libcroco3,0.6.2-1
libcurl3,7.19.7-1ubuntu1.6
libcurl3-gnutls,7.19.7-1ubuntu1.6
libcurl4-openssl-dev,7.19.7-1ubuntu1.6
libcwidget3,0.5.13-1ubuntu1
libdb4.8,4.8.24-1ubuntu1
libdbus-1-3,1.2.16-2ubuntu4.7
libdevmapper1.02.1,2:1.02.39-1ubuntu4.1
libdns64,1:9.7.0.dfsg.P1-1ubuntu0.11
libdrm-intel1,2.4.18-1ubuntu3
libdrm-nouveau1,2.4.18-1ubuntu3
libdrm-radeon1,2.4.18-1ubuntu3
libdrm2,2.4.18-1ubuntu3
libedit2,2.11-20080614-1build1
libept0,0.5.30
libevent-1.4-2,1.4.13-stable-1
libexpat1,2.0.1-7ubuntu1.1
libfreetype6,2.3.11-1ubuntu2.7
libfribidi0,0.19.2-1
libfuse2,2.8.1-1.1ubuntu3.1
libgcc1,1:4.4.3-4ubuntu5.1
libgcrypt11,1.4.4-5ubuntu2.2
libgcrypt11-dev,1.4.4-5ubuntu2.2
libgdbm3,1.8.3-9
libgeoip1,1.4.6.dfsg-17
libglib2.0-0,2.24.1-0ubuntu2
libgmp3c2,2:4.3.2+dfsg-1ubuntu1
libgnutls26,2.8.5-2ubuntu0.5
libgomp1,4.4.3-4ubuntu5.1
libgpg-error-dev,1.6-1ubuntu2
libgpg-error0,1.6-1ubuntu2
libgpm2,1.20.4-3.2ubuntu2
libgssapi-krb5-2,1.8.1+dfsg-2ubuntu0.11
libgssglue1,0.1-4ubuntu0.1
libgssrpc4,1.8.1+dfsg-2ubuntu0.11
libhtml-parser-perl,3.64-1
libhtml-tagset-perl,3.20-2
libhtml-tree-perl,3.23-1
libicu42,4.2.1-3ubuntu0.10.04.1
libidn11,1.15-2
libidn11-dev,1.15-2
libio-string-perl,1.08-2
libisc60,1:9.7.0.dfsg.P1-1ubuntu0.11
libisccc60,1:9.7.0.dfsg.P1-1ubuntu0.11
libisccfg60,1:9.7.0.dfsg.P1-1ubuntu0.11
libk5crypto3,1.8.1+dfsg-2ubuntu0.11
libkadm5clnt-mit7,1.8.1+dfsg-2ubuntu0.11
libkadm5srv-mit7,1.8.1+dfsg-2ubuntu0.11
libkdb5-4,1.8.1+dfsg-2ubuntu0.11
libkeyutils1,1.2-12
libklibc,1.5.17-4ubuntu1
libkrb5-3,1.8.1+dfsg-2ubuntu0.11
libkrb5-dev,1.8.1+dfsg-2ubuntu0.11
libkrb5support0,1.8.1+dfsg-2ubuntu0.11
libldap-2.4-2,2.4.21-0ubuntu5.7
libldap2-dev,2.4.21-0ubuntu5.7
liblocale-gettext-perl,1.05-6
liblockfile1,1.08-3ubuntu1
liblwres60,1:9.7.0.dfsg.P1-1ubuntu0.11
liblzma1,4.999.9beta+20091116-1
libmagic1,5.03-5ubuntu1.1
libmpfr1ldbl,2.4.2-3ubuntu1
libncurses5,5.7+20090803-2ubuntu3
libncurses5-dev,5.7+20090803-2ubuntu3
libncursesw5,5.7+20090803-2ubuntu3
libnewt0.52,0.52.10-5ubuntu1
libnfsidmap2,0.23-2
libnih-dbus1,1.0.1-1
libnih1,1.0.1-1
libnl1,1.1-5build1
libpam-modules,1.1.1-2ubuntu5.6
libpam-runtime,1.1.1-2ubuntu5.6
libpam0g,1.1.1-2ubuntu5.6
libparse-debianchangelog-perl,1.1.1-2ubuntu2
libpcap0.8,1.0.0-6
libpcre3,7.8-3build1
libplymouth2,0.8.2-2ubuntu2.2
libpng12-0,1.2.42-1ubuntu2.5
libpopt0,1.15-1
libpython2.6,2.6.5-1ubuntu6.3
libreadline6,6.1-1
libreadline6-dev,6.1-1
